Complexity,Loss,Equation
1,3.9841712,"x0"
2,0.15193844,"-0.9012026"
6,0.11788552,"cos(sin(x0)) * -1.1923082"
7,0.117202595,"cos(sin(sin(x0))) * -1.1295516"
8,0.101778194,"cos(x0 * 0.42325345) + -1.651836"
9,0.08698116,"cos(sin(x0 * 2.1942344)) * -1.180663"
10,1.5649705e-14,"(sin(x0 * x0) * cos(x0)) + -1.0"
13,1.5294432e-14,"((sin(x0 * x0) * cos(x0)) + -0.34589946) - 0.65410054"
