Complexity,Loss,Equation
1,3.9841712,"x0"
2,0.15193844,"-0.90118074"
6,0.11788552,"cos(sin(x0)) * -1.1923425"
7,0.117202595,"cos(sin(sin(x0))) * -1.1295466"
8,0.101778194,"cos(x0 * -0.42323723) + -1.65183"
9,0.07039952,"(x0 * (x0 * -0.3058947)) - cos(x0)"
10,1.5649705e-14,"(cos(x0) * sin(x0 * x0)) - 1.0"
